tweet_id,textblob_sentiment_label,textblob_subjectivity_label,textblob_sentiment_score,textblob_subjectivity_score
149,Neutral,Objective,0.0,0.0
150,Neutral,Objective,0.0,0.0
151,Positive,Subjective,0.1,1.0
152,Positive,Objective,0.21212121212121213,0.4515151515151515
153,Neutral,Objective,0.0,0.0
154,Neutral,Objective,0.0,0.0
155,Positive,Objective,0.05952380952380952,0.4845238095238095
156,Positive,Objective,0.3833333333333333,0.3666666666666667
157,Positive,Subjective,0.5,0.5
158,Neutral,Objective,0.0,0.0
159,Neutral,Objective,-0.016666666666666663,0.4888888888888889
160,Positive,Objective,0.2,0.3
161,Neutral,Objective,0.0,0.0
162,Neutral,Objective,0.0,0.0
163,Positive,Subjective,0.39999999999999997,0.5296296296296296
164,Neutral,Subjective,0.0,0.75
165,Positive,Objective,0.4,0.45
166,Neutral,Objective,0.0,0.0
167,Neutral,Objective,0.0,0.0
168,Positive,Objective,0.4,0.4
169,Positive,Objective,0.15555555555555553,0.3
170,Positive,Subjective,0.3,0.9
171,Neutral,Subjective,0.0,1.0
172,Positive,Subjective,0.5,0.55
173,Negative,Objective,-0.05,0.1
174,Neutral,Objective,0.0,0.0
175,Neutral,Objective,0.0,0.0
176,Neutral,Objective,0.0,0.0
177,Positive,Objective,0.11481481481481481,0.47962962962962963
178,Neutral,Objective,0.0,0.0
179,Positive,Objective,1.0,0.3
180,Neutral,Objective,0.0,0.0
181,Positive,Subjective,0.3,0.512962962962963
182,Positive,Objective,0.4375,0.3375
183,Neutral,Objective,0.0,0.0
184,Positive,Subjective,0.4,0.8
185,Neutral,Objective,0.0,0.0
186,Positive,Subjective,0.45,0.75
187,Neutral,Objective,0.0,0.0
188,Neutral,Objective,0.0,0.0
189,Positive,Subjective,0.4,1.0
190,Positive,Subjective,0.4,0.8
191,Positive,Subjective,0.4694444444444444,0.8138888888888888
192,Neutral,Objective,0.0,0.0
193,Positive,Objective,0.39999999999999997,0.3666666666666667
194,Positive,Objective,0.21666666666666667,0.4
195,Negative,Subjective,-0.3,0.6
196,Neutral,Objective,0.0,0.0
197,Positive,Objective,0.2,0.4
198,Positive,Subjective,0.0625,0.7
199,Neutral,Objective,0.0,0.0
200,Neutral,Objective,0.0,0.0
201,Positive,Objective,0.2,0.2
202,Neutral,Objective,0.0,0.0
203,Neutral,Objective,0.0,0.0
204,Positive,Subjective,0.13636363636363635,0.5
205,Positive,Objective,0.16666666666666666,0.3333333333333333
206,Positive,Subjective,0.15000000000000002,0.6
207,Positive,Objective,0.25,0.3333333333333333
208,Positive,Objective,0.1,0.3
209,Neutral,Objective,0.0,0.0
210,Negative,Objective,-0.25,0.45
211,Neutral,Objective,-0.04722222222222222,0.3138888888888889
212,Positive,Subjective,1.0,1.0
213,Neutral,Objective,0.0,0.46666666666666673
214,Positive,Subjective,0.1393939393939394,0.5916666666666667
215,Positive,Objective,1.0,0.4
216,Neutral,Objective,0.0,0.0
217,Positive,Objective,0.24,0.44000000000000006
218,Neutral,Objective,0.0,0.08333333333333333
